,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue,viewCount,likeCount,dislikeCount,commentCount
108,181079,tt0187738,movie,Blade II,Blade II,0,2002.0,117.0,"Action,Fantasy,Horror",40,12,4,54000000,155010032,0,0,0,0
109,183173,tt0189998,movie,Shadow of the Vampire,Shadow of the Vampire,0,2000.0,92.0,"Drama,Horror",37,1,4,8000000,8279017,0,0,0,0
110,183305,tt0190138,movie,The Whole Nine Yards,The Whole Nine Yards,0,2000.0,98.0,"Comedy,Crime",40,4,4,41300000,106371651,0,0,0,0
111,183519,tt0190374,movie,Dungeons & Dragons,Dungeons & Dragons,0,2000.0,107.0,"Action,Adventure,Fantasy",40,12,4,35000000,15185241,0,0,0,0
112,183658,tt0190524,movie,Left Behind: The Movie,Left Behind,0,2000.0,96.0,"Action,Drama,Fantasy",38,20,2,16000000,19682924,0,0,0,0
113,183723,tt0190590,movie,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",0,2000.0,107.0,"Adventure,Comedy,Crime",40,12,8,26000000,71000000,0,0,0,0
114,183974,tt0190865,movie,Vertical Limit,Vertical Limit,0,2000.0,124.0,"Action,Adventure,Drama",40,8,4,75000000,215663859,0,0,0,0
115,184225,tt0191133,movie,The Fighting Temptations,The Fighting Temptations,0,2003.0,123.0,"Comedy,Drama,Music",37,8,4,15000000,30238577,0,0,0,0
116,185123,tt0192111,movie,Head Over Heels,Head Over Heels,0,2001.0,86.0,"Comedy,Mystery,Romance",39,16,4,14010400,10424470,0,0,0,0
117,185264,tt0192255,movie,The Little Vampire,The Little Vampire,0,2000.0,95.0,"Adventure,Comedy,Family",40,12,4,22000000,13555988,0,0,0,0
118,185607,tt0192614,movie,The Skulls,The Skulls,0,2000.0,106.0,"Action,Crime,Drama",40,4,4,15000000,35007180,0,0,0,0
119,185717,tt0192731,movie,Urban Legends: Final Cut,Urban Legends: Final Cut,0,2000.0,97.0,"Horror,Mystery,Thriller",40,12,4,14000000,38574362,0,0,0,0
120,186313,tt0193364,movie,The Order,The Order,0,2001.0,89.0,"Action,Adventure,Comedy",40,8,4,35000000,11560806,0,0,0,0
121,186314,tt0193365,movie,Orphan,Orphan,0,2001.0,99.0,Drama,37,4,4,20000000,41596251,0,0,0,0
122,188070,tt0195234,movie,Saving Grace,Saving Grace,0,2000.0,93.0,"Comedy,Crime",40,8,4,10000000,26330482,0,0,0,0
123,188482,tt0195685,movie,Erin Brockovich,Erin Brockovich,0,2000.0,131.0,"Biography,Drama",40,4,4,52000000,256271286,0,0,0,0
124,188509,tt0195714,movie,Final Destination,Final Destination,0,2000.0,98.0,"Horror,Thriller",40,12,4,23000000,53302314,0,0,0,0
125,188723,tt0195945,movie,Next Friday,Next Friday,0,2000.0,98.0,Comedy,40,8,4,11000000,59827328,0,0,0,0
126,188992,tt0196229,movie,Zoolander,Zoolander,0,2001.0,90.0,Comedy,40,12,4,28000000,60780981,0,0,0,0
127,191378,tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001.0,92.0,"Adventure,Animation,Comedy",40,24,12,115000000,562816256,0,0,0,0
128,191703,tt0199129,movie,The Visit,The Visit,0,2000.0,107.0,Drama,33,8,4,5000000,98450062,0,0,0,0
129,192149,tt0199626,movie,In the Cut,In the Cut,0,2003.0,119.0,"Mystery,Thriller",40,12,4,12000000,23,0,0,0,0
130,192240,tt0199725,movie,Love & Basketball,Love & Basketball,0,2000.0,124.0,"Drama,Romance,Sport",37,4,4,20000000,27728118,0,0,0,0
131,192266,tt0199753,movie,Red Planet,Red Planet,0,2000.0,106.0,"Action,Sci-Fi,Thriller",40,8,4,80000000,33463969,0,0,0,0
132,192507,tt0200027,movie,Riding in Cars with Boys,Riding in Cars with Boys,0,2001.0,132.0,"Biography,Comedy,Drama",40,8,4,48000000,35743308,0,0,0,0
133,192905,tt0200465,movie,The Bank Job,The Bank Job,0,2008.0,111.0,"Crime,Thriller",40,8,4,20000000,64822796,0,0,0,0
134,192985,tt0200550,movie,Coyote Ugly,Coyote Ugly,0,2000.0,100.0,"Comedy,Drama,Music",40,4,4,45000000,113916474,0,0,0,0
135,194647,tt0202402,movie,Whatever It Takes,Whatever It Takes,0,2000.0,94.0,"Comedy,Drama,Romance",40,4,4,15000000,9902115,0,0,0,0
136,194713,tt0202470,movie,Rock Star,Rock Star,0,2001.0,105.0,"Drama,Music",40,4,4,57000000,16991902,0,0,0,0
137,195190,tt0202989,movie,Intern,The Intern,0,2000.0,90.0,Comedy,39,7,4,35000000,194564672,0,0,0,0
138,195209,tt0203009,movie,Moulin Rouge!,Moulin Rouge!,0,2001.0,127.0,"Drama,Musical,Romance",40,8,4,52500000,179213434,0,0,0,0
139,195218,tt0203019,movie,Men of Honor,Men of Honor,0,2000.0,129.0,"Biography,Drama",39,4,4,32000000,48814909,0,0,0,0
140,196318,tt0204175,movie,Boys and Girls,Boys and Girls,0,2000.0,94.0,"Comedy,Drama,Romance",40,8,4,16000000,20627372,0,0,0,0
141,196444,tt0204313,movie,Exorcist: The Beginning,Exorcist: The Beginning,0,2004.0,114.0,"Horror,Mystery,Thriller",38,16,4,80000000,78000586,0,0,0,0
142,197045,tt0204946,movie,Bring It On,Bring It On,0,2000.0,98.0,"Comedy,Romance,Sport",40,4,4,28000000,90449929,0,0,0,0
